name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
acanthite,Acn,Ag2S,cr1,HDNB78,NA,5.May.78,-9446,-7550,34.3,NA,34.2,15.63,8.6,0,0,0,0,0,450
acanthite,Acn,Ag2S,cr2,HDNB78,NA,5.May.78,-9235.197,-7024.866,35.3543,NA,34.2,1.819,53,0,0,0,0,0,620
acanthite,Acn,Ag2S,cr3,HDNB78,NA,5.May.78,-8227.324,-4960.457,38.898,NA,34.2,21.6,0,0,0,0,0,0,1000
aegerine,Agt,NaFe(SiO3)2,cr1,HDNB78,NA,5.May.78,NA,NA,36.7,NA,64.37,46.16,19.31,-9.46,0,0,0,0,950
aegerine,Agt,NaFe(SiO3)2,cr2,HDNB78,NA,5.May.78,-82.386,NA,34.6051,NA,64.37,52.42,10.01,-7.68,0,0,0,0,1050
aegerine,Agt,NaFe(SiO3)2,cr3,HDNB78,NA,5.May.78,478.346,NA,36.6502,NA,64.37,50.27,10.89,-7.68,0,0,0,0,1400
akermanite,Ak,Ca2MgSi2O7,cr,HDNB78,SH88.1,15.Mar.90,-879362,-926497,50.03,NA,92.81,60.09,11.4,-11.4,0,0,0,0,1700
alabandite,Alb,MnS,cr,HDNB78,NA,5.May.78,-52178,-51000,19.2,NA,21.46,11.4,1.8,0,0,0,0,0,1803
albite,Ab,Na(AlSi3)O8,cr1,HDNB78,NA,5.May.78,-886308,-939680,49.51,NA,100.25,61.7,13.9,-15.01,0,0,0,0,473
albite,Ab,Na(AlSi3)O8,cr2,HDNB78,NA,5.May.78,-886096.268,NA,53.9193,NA,100.25,81.88,3.554,-50.154,0,0,0,0,1200
"albite,high",Hi-Ab,NaAlSi3O8,cr1,HDNB78,NA,5.May.78,-884509,-937050,52.3,NA,100.43,61.7,13.9,-15.01,0,0,0,0,623
"albite,high",Hi-Ab,NaAlSi3O8,cr2,HDNB78,NA,5.May.78,-884768.678,NA,50.4797,NA,100.43,64.17,13.9,-15.01,0,0,0,0,1400
"albite,low",Lo-Ab,Na(AlSi3)O8,cr,HDNB78,NA,5.May.78,-886308,-939680,49.51,NA,100.07,61.7,13.9,-15.01,0,0,0,0,1400
"albite,low",Alm,Fe3Al2Si3O12,cr1,HDNB78,NA,5.May.78,NA,NA,75.6,NA,115.28,97.52,33.64,-18.73,0,0,0,0,848
almandine,Alm,Fe3Al2Si3O12,cr2,HDNB78,NA,5.May.78,-11.741,NA,71.93,NA,115.28,107.09,14.86,-10.63,0,0,0,0,1600
alunite,Alu,KAl3(OH)6(SO4)2,cr,HDNB78,NA,5.May.78,-1113600,-1235600,78.4,NA,293.6,153.45,0,-54.95,0,0,0,0,650
"amesite,14a",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr1,HDNB78,NA,5.May.78,NA,NA,108.9,NA,205.4,172.59,34.98,-41.67,0,0,0,0,848
"amesite,14a",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr2,HDNB78,NA,5.May.78,3.895,NA,110.1233,NA,205.4,169.4,41.24,-44.37,0,0,0,0,1000
"amesite,7a",Ams-7A,Mg2Al(AlSi)O5(OH)4,cr,HDNB78,NA,5.May.78,NA,NA,52,NA,103,81.03,24.738,-20.23,0,0,0,0,1000
"amorphous silica",Amor-Sl,SiO2,cr,HDNB78,NA,5.May.78,-202892,-214568,14.34,NA,29,5.93,47.2,-22.78,0,0,0,0,622
analcime,Anl,NaAlSi2O6*H2O,cr,HDNB78,NA,5.May.78,-738098,-790193,56,NA,97.1,53.49,24.14,-8.88,0,0,0,0,1000
