name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,d5
almandine,,-5265440,341.51,11.529,621.43,-32.879,-150.81,221.187,-0.57,0.434,18.599,74.711,,,,,,,,,,,,,,
anthophyllite,,-12074470,537.4,26.33,1233.79,-71.34,-221.638,233.394,-1.139,0,28.105,62.894,,,,,,,,,,,,,,
cordierite,,-9161480,416.23,23.311,954.39,-79.623,-23.173,-37.021,-1.158,0,3.003,18.017,,,,,,,,,,,,,,
Fe-cordierite,,-8430550,482.18,23.706,983.48,-84.037,-18.703,-8.568,-1.7,0,4.265,0,,,,,,,,,,,,,,
fayalite,,-1477170,151.73,4.639,252,-20.137,0,-6.219,-0.822,1.944,26.21,84.233,,,,,,,,,,,,,,
ferrosilite,,-1192910,96.47,3.295,174.2,-13.93,-4.544,-3.771,-0.911,0.303,31.406,80.4,,,,,,,,,,,,,,
forsterite,,-2174420,94.18,4.36,233.18,-18.016,0,-26.794,-0.791,1.351,29.464,88.633,,,,,,,,,,,,,,
geikelite,,-1570520,74.41,3.077,146.2,-4.16,-39.998,40.233,-0.529,0,23.314,88.328,,,,,,,,,,,,,,
hematite,,-826740,87.36,3.027,146.86,0,-55.768,52.563,-0.479,0.304,38.31,1.65,955,298,0,-7.403,27.921,1287,,,,,,,,
hercynite,,-1945360,123.13,4.08,251.77,-20.444,-13.483,13.15,-0.51,0,15.819,96.276,,,,,,,,,,,,,,
ilmenite,,-1233320,108.5,3.17,150,-4.416,-33.237,34.815,-0.529,0,23.314,88.328,,,,,,,,,,,,,,
iron-a,,0,27.45,0.709,51.87,-3.794,-25.43,50.68,-0.602,0,45.071,14.104,1042,298,-0.00057,-22.208,34.823,1000,,,,,,,,
iron-g,,7720,35.64,0.691,66.24,-12.371,63.733,-106.04,-0.467,-1.445,47.153,14.451,,,,,,,,,,,,,,
magnetite,,-1116960,146.04,4.452,207.93,0,-72.433,66.436,-0.582,1.751,30.291,138.47,848,298,0,-19.502,61.037,1565,,,,,,,,
enstatite,,-1546040,66.18,3.133,166.58,-12.006,-22.706,27.915,-0.749,0.447,24.656,74.67,,,,,,,,,,,,,,
orthocorundum,,-1634950,33.93,3.123,119.38,7.748,-65.091,42.288,-0.749,0.447,24.656,74.67,,,,,,,,,,,,,,
pyrope,,-6284740,268.8,11.311,590.9,-28.27,-133.208,126.033,-0.576,0.442,22.519,37.044,,,,,,,,,,,,,,
rutile,,-944750,50.88,1.883,77.84,0,-33.678,40.294,-0.454,0.585,25.716,15.409,,,,,,,,,,,,,,
spinel,,-2302160,80.37,3.978,244.67,-20.04,,,-0.489,0,21.691,50.528,,,,,,,,,,,,,,
talc,,-5898960,261.21,13.61,664.11,-51.872,-21.472,-32.737,-1.847,5.878,25.616,0,,,,,,,,,,,,,,
